boundary_id,name,state,month,family,total,status_single_source,status_corroborated,status_contradicted,status_unassessed,severity_low,severity_medium,severity_high,severity_unknown
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-08,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-09,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-09,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928385,Municipio Monagas,Anzoátegui,2024-10,CON,0,0,0,0,0,0,0,0,0
